# path	owner	reference_count	api_families	compile_gate	behavior_gate	disposition
zkwebui/WEB-INF/src/org/adempiere/webui/desktop/NavBarDesktop.java	zkwebui	20	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/desktop/TabbedDesktop.java	zkwebui	5	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WAccountEditor.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WAssignmentEditor.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WBinaryEditor.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WButtonEditor.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WChartEditor.java	zkwebui	9	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WDateEditor.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WDatetimeEditor.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WEditor.java	zkwebui	6	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WEditorPopupMenu.java	zkwebui	5	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WFileDirectoryEditor.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WFilenameEditor.java	zkwebui	5	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WImageEditor.java	zkwebui	4	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WLocationEditor.java	zkwebui	3	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WLocatorEditor.java	zkwebui	3	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WNumberEditor.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WPAttributeEditor.java	zkwebui	3	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WRadioEditor.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WSearchEditor.java	zkwebui	3	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WSearchEditorAutoComplete.java	zkwebui	1	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WStringEditor.java	zkwebui	8	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WTableDirEditor.java	zkwebui	3	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WTimeEditor.java	zkwebui	3	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WUrlEditor.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/editor/WYesNoEditor.java	zkwebui	2	ce-core	5d	5g	migrate-source
